NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Rencontres internationales des cinémas arabes,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13191,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"43.296346, 5.369889"
Sur le fil - festival en langue des signes,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13003,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"43.296346, 5.369889"
Les malins plaisirs,Régionale,Hauts-de-France,Pas-de-Calais,Montreuil-sur-Mer,62588,Spectacle vivant,Saison (21 juin - 5 septembre),"50.4655272073, 1.77098646216"
Cinéma en plein air de La vilette,,Île-de-France,Paris,Paris,75019,"Cinéma, audiovisuel",Saison (21 juin - 5 septembre),"48.886868623, 2.38469432787"
Vercors Music festival,,Auvergne-Rhône-Alpes,Isère,Autrans,38880,Musique,Saison (21 juin - 5 septembre),"45.1321769623, 5.52869303726"
Les Nuits des Arènes,,Île-de-France,Paris,Paris,75005,Musique,Saison (21 juin - 5 septembre),"48.8567, 2.3508"
Festival du Rocher,,Auvergne-Rhône-Alpes,Drôme,Pierrelatte,26700,Musique,Saison (21 juin - 5 septembre),"44.3606937732, 4.68715113615"
Arcachon en Scène,,Nouvelle-Aquitaine,Gironde,Arcachon,33120,Musique,Saison (21 juin - 5 septembre),"44.6529002838, -1.17429790933"
Alest,Régionale,Normandie,Seine-Maritime,Rouen,76000,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"49.4413460103, 1.09256784278"
Explos film festival,,Occitanie,Ariège,Ax-Les-Thermes,9110,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"42.6873576342, 1.81825994194"
Chartrestivales,Intercommunale,Centre-Val de Loire,Eure-et-Loir,Chartres,28000,Musique,Saison (21 juin - 5 septembre),"48.4471464884, 1.50570610616"
Festival du polar,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Saint-Laurent-du-Var,6700,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.6859625772, 7.18218791815"
Smr13 - festival international du film indépendant,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Saint-Mitre-Les-Remparts,13920,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"43.4554029916, 5.01494725455"
Festival de Hérisson,,Auvergne-Rhône-Alpes,Allier,Cosne-d'Allier,3430,Pluridisciplinaire,Saison (21 juin - 5 septembre),"46.482962805, 2.82323006329"
Nuits d'été,,Auvergne-Rhône-Alpes,Allier,Cusset,3300,Musique,Saison (21 juin - 5 septembre),"46.1377738304, 3.48296708451"
Toros Y Salsa,,Nouvelle-Aquitaine,Landes,Dax,40100,Musique,Après-saison (6 septembre - 31 décembre),"43.7006746973, -1.06014429759"
Rock'N'Live,,Île-de-France,Yvelines,Sartrouville,78500,Musique,Après-saison (6 septembre - 31 décembre),"48.9396085498, 2.17458686513"
Jazz à Foix,Interrégionale,Occitanie,Ariège,Foix,9000,Musique,saison (21 juin - 5 septembre),"42.9658502274, 1.61037495894"
Le Cabaret Vert,,Grand Est,Ardennes,Charleville-Mézières,8000,Musique,Saison (21 juin - 5 septembre),"49.7752965803, 4.71724655966"
Tambours de Fête,,Grand Est,Ardennes,Charleville-Mézières,8000,Musique,Avant-saison (1er janvier - 20 juin),"49.7752965803, 4.71724655966"
Liv'in Embrun,Départemental,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Embrun,5200,Musique,Saison (21 juin - 5 septembre),"44.5804294908, 6.47559298927"
Femmes en scène,,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Forcalquier,4300,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"43.9599082374, 5.7882827572"
Tous dehors (enfin !),,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Gap,5000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"44.5798600596, 6.06486052138"
Imaginarium,,Hauts-de-France,Oise,Margny-lès-Compiègne,60280,Musique,Avant-saison (1er janvier - 20 juin),"49.4329968709, 2.8054861143"
Forts en fête,Départementale,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Briançon,5100,Musique,Saison (21 juin - 5 septembre),"44.8994986041, 6.64947524018"
Sonic protest,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13006,Musique,Avant-saison (1er janvier - 20 juin),"43.296346, 5.369889"
Ateliers Jazz,Départementale,Pays de la Loire,Mayenne,Meslay-du-Maine,53170,Musique,Avant-saison (1er janvier - 20 juin),"47.9469156243, -0.558693863131"
Festi'folk,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Lambesc,13410,Musique,Saison (21 juin - 5 septembre),"43.6615217681, 5.25191446931"
Salon du livre ancien et d'occasion,Intercommunale,Auvergne-Rhône-Alpes,Allier,Lapalisse,3120,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"46.264846808, 3.63838425184"
Art Paris Art Fair,,Île-de-France,Paris,Paris,75010,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"48.8760285569, 2.36111290456"
Asia Now,,Île-de-France,Paris,Paris,75016,"Arts visuels, arts numériques",Après-saison (6 septembre - 31 décembre),"48.8603987604, 2.2620995594"
Tighten up,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13009,Musique,Après-saison (6 septembre - 31 décembre),"43.296346, 5.369889"
Festival de cinéma argentique,,Occitanie,Gard,Redessan,30129,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"43.8345466774, 4.51298942933"
Festival bande-dessinée,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Fontvieille,13990,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.7232610704, 4.72310168882"
