NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Festival Les Nits d’Eus,Départementale,Occitanie,Pyrénées-Orientales,Eus,66500,Musique,Saison (21 juin - 5 septembre),"42.657654474, 2.44661138862"
Cooksound festival,Régionale,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Forcalquier,4300,Musique,Saison (21 juin - 5 septembre),"43.9599082374, 5.7882827572"
Festival de théâtre provencal,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Fuveau,13710,Spectacle vivant,Saison (21 juin - 5 septembre),"43.4594948454, 5.55305747206"
Jazz à Junas,,Occitanie,Gard,Junas,30250,Musique,Avant-saison (1er janvier - 20 juin),"43.7615067362, 4.11752159876"
Les intergalactiques,Régionale,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69008,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"45.9136198331, 4.77375123298"
Soyons sport !,Intercommunale,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69008,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"46.1234461797, 4.4024348545"
Foud'Rock,,Île-de-France,Yvelines,Magny-les-Hameaux,78114,Musique,Après-saison (6 septembre - 31 décembre),"48.7410207273, 2.0519793397"
Bleue,Départementale,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13001,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"43.296346, 5.369889"
Le petit festival du palais Longchamp,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13004,Spectacle vivant,Saison (21 juin - 5 septembre),"43.296346, 5.369889"
Jours [et nuits] de cirque(s),,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Aix-en-Provence,13090,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.5360708378, 5.39857444582"
Les nuits méditerranéennes,Transfrontalière,Corse,Haute-Corse,Ajaccio,20250,"Cinéma, audiovisuel",Saison (21 juin - 5 septembre),"41.9347926638, 8.70132275974"
Festival Pause guitare à Albi,,Occitanie,Tarn,Albi,81000,Musique,Saison (21 juin - 5 septembre),"43.9258213622, 2.14686328555"
Festival Les Echapées Belles,Intercommunale,Normandie,Orne,Alençon,61000,Spectacle vivant,Saison (21 juin - 5 septembre),"48.4318193082, 0.0915406916107"
LadyFest d'Alençon,,Normandie,Orne,Alençon,61000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"48.4318193082, 0.0915406916107"
Femmes en scènes,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Nice,6000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.7119992661, 7.23826889465"
Raffal Fest,,Normandie,Orne,Alençon,61000,Musique,Après-saison (6 septembre - 31 décembre),"48.4318193082, 0.0915406916107"
Festival de cinéma d'Alès – Itinérances,Régionale,Occitanie,Gard,Alès,30100,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"44.1250099126, 4.08828501262"
La Rue Râle,,Bretagne,Morbihan,Allaire,56350,Musique,Saison (21 juin - 5 septembre),"47.6392193445, -2.17681507496"
Rockabilly Dream Fish,,Nouvelle-Aquitaine,Corrèze,Allassac,19240,Musique,Avant-saison (1er janvier - 20 juin),"45.2556220149, 1.46918061552"
Salon du polar et du livre,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Noves,13550,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.8584523466, 4.89952194493"
Festival Barjac en jazz,Intercommunale,Occitanie,Gard,Allegre-Les-Fumades,30500,Musique,Saison (21 juin - 5 septembre),"44.1976013658, 4.25339592955"
La boule bleue,Régionale,Hauts-de-France,Somme,Amiens,80000,Musique,Après-saison (6 septembre - 31 décembre),"49.9009532186, 2.29007445539"
"Ce soir, je sors mes parents",Intercommunale,Pays de la Loire,Loire-Atlantique,Ancenis-Saint-Géréon,44150,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"47.3833270209, -1.18241880879"
FIFCA - Festival international du Film Court d’Angoulême,,Nouvelle-Aquitaine,Charente,Angoulême,16000,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"45.6472585146, 0.14514490683"
Semaine de l'insolence,,Auvergne-Rhône-Alpes,Haute-Savoie,Annecy,74000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"45.8906432566, 6.12551773598"
Ciné Regards Africains,,Île-de-France,Val-de-Marne,Arceuil,94110,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"48.8058803597, 2.33351024984"
"Maghreb si loin, si proche",Régionale,Occitanie,Pyrénées-Orientales,Argelès-sur-Mer,66700,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"42.5352193463, 3.02429862885"
Classique au Vert,,Île-de-France,Paris,Paris,75012,Musique,Saison (21 juin - 5 septembre),"48.8351562307, 2.41980703497"
La semaine de convivència,Régionale,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Arles,13200,Musique,Saison (21 juin - 5 septembre),"43.5468692378, 4.66215642574"
Festival de Clermont-Ferrand à Aubervilliers,,Île-de-France,Seine-Saint-Denis,Aubervilliers,93300,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"48.9121722626, 2.38445513768"
Nuits Noires À Aubusson,,Nouvelle-Aquitaine,Creuse,Aubusson,23200,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"45.9509017497, 2.16588054786"
Musique en Eure et Loir,,Centre-Val de Loire,Eure-et-Loir,Authon-du-Perche,28330,Musique,Avant-saison (1er janvier - 20 juin),"48.2017280828, 0.885473078137"
Festival d’Auvers-sur-Oise,,Île-de-France,Val-d'Oise,Auvers-sur-Oise,95430,Musique,Saison (21 juin - 5 septembre),"49.0803858577, 2.15488070885"
Les Étoiles du documentaire,,Île-de-France,Paris,Paris,75001,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"48.8626304852, 2.33629344655"
Xarnegu Eguna,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Bardos,64520,Musique,Avant-saison (1er janvier - 20 juin),"43.4681224323, -1.22301840969"
Humour en Weppes,Intercommunale,Hauts-de-France,Nord,La Bassée,59051,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"50.5397647046, 2.80910290453"
Festival du cinéma italien,Régionale,Corse,Haute-Corse,Bastia,20200,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"42.6864768806, 9.42502133338"
Boun'estival,,Provence-Alpes-Côte d'Azur,Var,Bauduen,83630,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"43.7157423488, 6.20204455595"
Salon International du Livre Rare et des Experts en Objets d’Art,,Île-de-France,Paris,Paris,75006,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"48.8567, 2.3508"
Le Petit Bouquinville,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Bayonne,64100,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"43.4922254016, -1.46607674358"
Comiques agricoles,,Hauts-de-France,Somme,Beauquesne,80600,Spectacle vivant,Saison (21 juin - 5 septembre),"50.0811863069, 2.37614485033"
Du bitume et des plumes,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"47.2553872249, 6.01948696494"
Bess'tival,,Auvergne-Rhône-Alpes,Puy-de-Dôme,Besse-et-Saint-Anastaise,63610,Spectacle vivant,Saison (21 juin - 5 septembre),"45.4967792648, 2.90703862997"
Festi Lasai,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Biarritz,64200,Musique,Saison (21 juin - 5 septembre),"43.4695847227, -1.55309857519"
Bypass,Intercommunale,Occitanie,Haute-Garonne,Blagnac,31706,Musique,Après-saison (6 septembre - 31 décembre),"43.6421867862, 1.37886941086"
Estivités de Blagnac,,Occitanie,Haute-Garonne,Blagnac,31700,Spectacle vivant,Saison (21 juin - 5 septembre),"43.6421867862, 1.37886941086"
Feufliazhe,,Auvergne-Rhône-Alpes,Haute-Savoie,Boëge,74420,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"46.2188768633, 6.38530552261"
Les polymusicales de bollène,,Provence-Alpes-Côte d'Azur,Vaucluse,Bollène,84505,Musique,Saison (21 juin - 5 septembre),"44.2882016409, 4.75235956257"
Ahoy Musiques de Plaisance,,Nouvelle-Aquitaine,Gironde,Bordeaux,33000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"44.8572445351, -0.57369678116"
Bouche à Oreille,,Pays de la Loire,Maine-et-Loire,Bouchemaine,49080,Musique,Avant-saison (1er janvier - 20 juin),"47.4307669874, -0.627122133651"
Mur…Mur,Intercommunale,Hauts-de-France,Pas-de-Calais,Boulogne-sur-Mer,62200,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"50.7271332663, 1.60756334802"
Cap sur le rire,,Corse,Haute-Corse,Brando,20222,Spectacle vivant,Saison (21 juin - 5 septembre),"42.7792996993, 9.45029993821"
Le solstice de Brangues,,Auvergne-Rhône-Alpes,Isère,Brangues,38510,Spectacle vivant,Saison (21 juin - 5 septembre),"45.6960928828, 5.53688016446"
Spectacles du monde,Intercommunale,Bourgogne-Franche-Comté,Haute-Saône,Port-sur-Saône,70170,Spectacle vivant,Saison (21 juin - 5 septembre),"47.692500452, 6.03302774909"
Quais du départ,Régionale,Auvergne-Rhône-Alpes,Rhône,Brignais,69530,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"45.678117475, 4.75268787981"
Festival du cinéma de Brive - Rencontres Internationales du moyen-métrage,,Nouvelle-Aquitaine,Corrèze,Brive-la-Gaillarde,19100,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"45.1435830664, 1.51936836063"
Festival du film de Cabourg,,Normandie,Calvados,Cabourg,14390,"Cinéma, audiovisuel",Saison (21 juin - 5 septembre),"49.2834863414, -0.125512945279"
Cinédélices,,Occitanie,Lot,Cahors,46000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"44.4507370916, 1.44075837848"
Les Estivales de Camplong,,Occitanie,Aude,Camplong-D'Aude,11200,Spectacle vivant,saison (21 juin - 5 septembre),"43.1336113618, 2.65379340398"
Festival Nova Ona,,Occitanie,Pyrénées-Orientales,Canet-en-Roussillon,66140,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"42.6841288047, 3.01161744752"
Scènes émergentes,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Carros,6510,Musique,Avant-saison (1er janvier - 20 juin),"43.7850390592, 7.18414159904"
Les Rues'cambolesques,Départementale,Occitanie,Tarn,Castres,81100,Musique,Saison (21 juin - 5 septembre),"43.6156511237, 2.23787231587"
Festival des tragos,,Provence-Alpes-Côte d'Azur,Var,Cavalaire-sur-Mer,83240,Spectacle vivant,Saison (21 juin - 5 septembre),"43.1819055812, 6.52121721395"
Celtie d'Oc,,Occitanie,Ariège,Cazavet,9160,Musique,Saison (21 juin - 5 septembre),"42.9980540032, 1.03529654774"
Les musicales du jeudi,,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Ceillac,5600,Musique,Saison (21 juin - 5 septembre),"44.6526516194, 6.80366189831"
Détours du monde,Départementale,Occitanie,Lozère,Chanac,48230,Musique,Saison (21 juin - 5 septembre),"44.4502200567, 3.34457977647"
Coup de théâtre à auribeau,Communale,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Auribeau-sur-Siagne,6810,Spectacle vivant,Saison (21 juin - 5 septembre),"43.612406867, 6.91211356657"
Festival du conte des collines de l'Hermitage,,Auvergne-Rhône-Alpes,Drôme,Chanos curson,26600,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"45.0572285587, 4.91832006545"
Les vendanges musicales,,Auvergne-Rhône-Alpes,Rhône,Charnay,69380,Musique,Après-saison (6 septembre - 31 décembre),"45.891187551, 4.66063186811"
Festival international d'orgue de Chartres,,Centre-Val de Loire,Eure-et-Loir,Chartres,28000,Musique,Saison (21 juin - 5 septembre),"48.4471464884, 1.50570610616"
Jazz de mars,Départemental,Centre-Val de Loire,Eure-et-Loir,Chartres,28000,Musique,Avant-saison (1er janvier - 20 juin),"48.4471464884, 1.50570610616"
Berry Lait,Intercommunale,Centre-Val de Loire,Indre,Châteauroux,36000,Musique,Avant-saison (1er janvier - 20 juin),"46.8029617828, 1.69399812001"
Littérature au centre,Régionale,Auvergne-Rhône-Alpes,Puy-de-Dôme,Clermont-Ferrand,63000,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"45.7856492991, 3.11554542903"
Be Bop Or Be Dead,Régionale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,Musique,Après-saison (6 septembre - 31 décembre),"47.6471539414, 6.84541206237"
Traces de vies,Régionale,Auvergne-Rhône-Alpes,Puy-de-Dôme,Clermont-Ferrand,63000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"45.7856492991, 3.11554542903"
Festival de la BD de Cluny,,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"46.4303628582, 4.67033276327"
Festival Polar de Cognac,,Nouvelle-Aquitaine,Charente,Cognac,16100,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"45.6962326551, -0.33507941815"
Festival de jazz,départementale,Occitanie,Pyrénées-Orientales,Collioure,66190,Musique,Saison (21 juin - 5 septembre),"42.5130107325, 3.07254121467"
Musicales du Château de Commarin,,Bourgogne-Franche-Comté,Côte-d'Or,Commarin,21320,Musique,Après-saison (6 septembre - 31 décembre),"47.2495525979, 4.65314181407"
La Marche des conteurs,,Occitanie,Aude,Corbières-en-Minervois,11200,"Livre, littérature",Saison (21 juin - 5 septembre),"43.2036730565, 2.76215028732"
Festival du livre jeunesse de Cosne-Sur-Loire,,Bourgogne-Franche-Comté,Nièvre,Cosne-Cours-sur-Loire,58200,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"47.4029099422, 2.94284103771"
Diep-Haven,Transfrontalière,Normandie,Seine-Maritime,Dieppe,76200,"Arts visuels, arts numériques",Après-saison (6 septembre - 31 décembre),"49.9222503951, 1.08681168449"
Génériq Festival,Transfrontalière,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,Musique,Avant-saison (1er janvier - 20 juin),"47.3229437965, 5.03788805877"
Été Musical à Dinan,,Bretagne,Côtes-d'Armor,Dinan,22100,Musique,Saison (21 juin - 5 septembre),"48.4557709953, -2.04816149693"
L'imprudanse,Intercommunale,Provence-Alpes-Côte d'Azur,Var,Draguignan,83300,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.5357513285, 6.45436569191"
Festival Les Murmures du Val,,Bourgogne-Franche-Comté,Jura,Foncine-le-Haut,39460,Musique,Après-saison (6 septembre - 31 décembre),"46.6590550612, 6.06154968382"
Les nuits de port-fréjus,,Provence-Alpes-Côte d'Azur,Var,Fréjus,83600,Spectacle vivant,Saison (21 juin - 5 septembre),"43.4719558114, 6.76361597424"
Boudu la Jongle,,Occitanie,Haute-Garonne,Gagnac-sur-Garonne,31150,Spectacle vivant,Saison (21 juin - 5 septembre),"43.7075932093, 1.36359468155"
Fables lab,Communale,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Cannes,6400,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.5526202843, 7.00427592728"
Festival de l'humour,,Centre-Val de Loire,Loiret,Gien,45500,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"47.71227944, 2.66549550204"
Festival Lily,Régionale,Guadeloupe,Guadeloupe,Gosier,97190,Musique,Après-saison (6 septembre - 31 décembre),"16.2252192032, -61.4698776652"
Un piano à grans,Régionale,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Grans,13450,Musique,Avant-saison (1er janvier - 20 juin),"43.6142225937, 5.04474558898"
Festival Lire en Ville,,Nouvelle-Aquitaine,Charente,Grassac,16380,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.5812707814, 0.399196198105"
Festival Rues d'été,,Occitanie,Tarn,Graulhet,81300,Spectacle vivant,Saison (21 juin - 5 septembre),"43.7576562195, 2.00122512851"
Une belle saloperie,Intercommunale,Auvergne-Rhône-Alpes,Isère,Grenoble,38000,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"45.1821215167, 5.72133051752"
Savoie en livres,Intercommunale,Auvergne-Rhône-Alpes,Savoie,Grésy-sur-isère,73460,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"45.6009706105, 6.24611530229"
Bluesin'(A)Out,,Hauts-de-France,Pas-de-Calais,Groffliers,62600,Musique,Saison (21 juin - 5 septembre),"50.3852621579, 1.60399303027"
Festival de la Saint-Loup,,Bretagne,Côtes-d'Armor,Guingamp,22200,Musique,Saison (21 juin - 5 septembre),"48.5612759498, -3.15330223539"
Festival Aux Champs,,Nouvelle-Aquitaine,Corrèze,Chanteix,19330,Musique,Saison (21 juin - 5 septembre),"45.3124205901, 1.6226623783"
Musiques en Haut//Estivales des Orgues,Départementale,Bourgogne-Franche-Comté,Jura,Hauts de Bienne,39400,Musique,Saison (21 juin - 5 septembre),"46.5258425381, 6.03328656487"
Des Ronds dans l'Eau,,Bretagne,Morbihan,Hennebont,56700,Musique,Avant-saison (1er janvier - 20 juin),"47.807556604, -3.26971559866"
Hiboux et le Chien blanc,Intercommunale,Bourgogne-Franche-Comté,Doubs,Hyémondans,25250,Musique,Saison (21 juin - 5 septembre),"47.3809106703, 6.63896940193"
Festival BD et littérature jeunesse,Intercommunale,Auvergne-Rhône-Alpes,Drôme,La Bégude-de-Mazenc,26160,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"44.5522749544, 4.93110207079"
Cinéma et ruralité,,Auvergne-Rhône-Alpes,Savoie,La Biolle,73410,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"45.759099279, 5.91593169517"
Festival des Anches d'Azur,Départementale,Provence-Alpes-Côte d'Azur,Var,La Croix-Valmer,83420,Musique,Saison (21 juin - 5 septembre),"43.1951890718, 6.5862813598"
Ferté Jazz,,Île-de-France,Seine-et-Marne,La Ferté-sous-Jouarre,77260,Musique,Saison (21 juin - 5 septembre),"48.9540164057, 3.12762174384"
Jazz in Aiacciu,Régional,Corse,Corse-du-Sud,Ajaccio,20000,Musique,Avant-saison (1er janvier - 20 juin),"41.9347926638, 8.70132275974"
Festival du rire,,Provence-Alpes-Côte d'Azur,Var,La Londe-Les-Maures,83700,Spectacle vivant,Saison (21 juin - 5 septembre),"43.4574625431, 6.84734210398"
Au Grès Du Jazz,,Grand Est,Bas-Rhin,La Petite Pierre,67270,Musique,Saison (21 juin - 5 septembre),"48.8657597248, 7.32734776032"
R. Pop,,Pays de la Loire,Vendée,La Roche-sur-Yon,85000,Musique,Saison (21 juin - 5 septembre),"46.6675261644, -1.4077954093"
Festival international de cinéma Ciné sans frontières (films en VOSTF),,Nouvelle-Aquitaine,Gironde,La Teste-de-Buch,33115,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"44.5561823053, -1.17530826791"
Festival de Luth,,Nouvelle-Aquitaine,Gironde,Ladaux,33760,Musique,Saison (21 juin - 5 septembre),"44.7032423261, -0.246749239195"
Lieux Mouvants,,Bretagne,Côtes-d'Armor,Lanrivain,22480,Pluridisciplinaire,Saison (21 juin - 5 septembre),"48.3590715356, -3.21502057949"
Bob'Arts,Intercommunale,Centre-Val de Loire,Indre,Le Blanc,36300,Musique,Saison (21 juin - 5 septembre),"46.6346200347, 1.10013221164"
Les zincs chantent,,Auvergne-Rhône-Alpes,Ardèche,Annonay,7100,Musique,Après-saison (6 septembre - 31 décembre),"45.2460902392, 4.65026947295"
Festival international de vidéo danse de Bourgogne,,Bourgogne-Franche-Comté,Saône-et-Loire,Le Breuil,71670,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"46.7952744773, 4.49374098192"
Lire en Baie,Communale,Hauts-de-France,Somme,Le Crotoy,80550,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"50.2439123347, 1.62316246487"
Exhibit,,Normandie,Seine-Maritime,Le Havre,76620,"Arts visuels, arts numériques",Saison (21 juin - 5 septembre),"49.498452502, 0.140153719153"
Festival Le Goût des autres,Intercommunale,Normandie,Seine-Maritime,Le Havre,76600,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"49.498452502, 0.140153719153"
Les festivals d'Eyguieres,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Eyguieres,13430,Musique,Saison (21 juin - 5 septembre),"43.7025562953, 5.01557705248"
Les Rencontres nationales du Havre sur les séries,,Normandie,Seine-Maritime,Le Havre,76600,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"49.498452502, 0.140153719153"
Les Z’Estivales,,Normandie,Seine-Maritime,Le Havre,76600,Pluridisciplinaire,Saison (21 juin - 5 septembre),"49.498452502, 0.140153719153"
Un Week-End Béton Le Havre,Interrégionale,Normandie,Seine-Maritime,Le Havre,76620,Musique,Saison (21 juin - 5 septembre),"49.498452502, 0.140153719153"
Festivale de théâtre de rue,,Provence-Alpes-Côte d'Azur,Var,Le Lavandou,83980,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"43.1656102964, 6.41231277863"
Nomade Reggae festival,,Auvergne-Rhône-Alpes,Haute-Savoie,Feigères,74160,Musique,Saison (21 juin - 5 septembre),"46.1104409048, 6.07310572582"
Festival de musique à Saint-Flour-du-Pompidou,,Occitanie,Lozère,Le Pompidou,48110,Musique,Saison (21 juin - 5 septembre),"44.2034836971, 3.65983483372"
Festival d'été Trad'Estiu,,Occitanie,Ariège,Foix,9000,Musique,Saison (21 juin - 5 septembre),"42.9658502274, 1.61037495894"
Salon du livre Le Touquet,Communale,Hauts-de-France,Pas-de-Calais,Le Touquet,62520,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"50.5083984501, 1.59923820583"
Roc'h Holoch,,Bretagne,Finistère,Le Tréhou,29450,Musique,Saison (21 juin - 5 septembre),"48.3938578197, -4.12922038869"
Trieux Tonic Blues,,Bretagne,Côtes-d'Armor,Lézardrieux,22740,Musique,Avant-saison (1er janvier - 20 juin),"48.8036302757, -3.1089212671"
Fest' Arts,,Nouvelle-Aquitaine,Gironde,Libourne,33500,Spectacle vivant,Saison (21 juin - 5 septembre),"44.9130767869, -0.234709332068"
Passions d'avril,Régionale,Hauts-de-France,Nord,Lille,59000,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"50.6317183168, 3.04783272312"
Limoges Block Party,,Nouvelle-Aquitaine,Haute-Vienne,Limoges,87000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.8542549589, 1.2487579024"
Escales Photos Festival du Mor Braz,,Bretagne,Morbihan,Locmariaquer,56370,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"47.5780372256, -2.96305094247"
Festival International de Jazz à Louviers,,Normandie,Eure,Louviers,27400,Musique,Avant-saison (1er janvier - 20 juin),"49.2206099164, 1.15340030158"
Les arts verts,Départementale,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Gemenos,13420,Musique,Saison (21 juin - 5 septembre),"43.2981044185, 5.64391464048"
Festival de musique de chambre,Départementale,Bourgogne-Franche-Comté,Haute-Saône,Mâcon,71000,Musique,Saison (21 juin - 5 septembre),"46.3205511756, 4.81842529639"
Tek A(Rt) Ticket,,Nouvelle-Aquitaine,Lot-et-Garonne,Marmande,47200,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"44.5055176845, 0.172174280849"
Festival du Polar,,Pays de la Loire,Loire-Atlantique,Mauves-sur-Loire,44470,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"47.3161301081, -1.40277407662"
Festiv'ART,,Île-de-France,Seine-et-Marne,Melun,77000,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"48.5444723553, 2.65795821917"
Festival international du Film de Ménigoute,,Nouvelle-Aquitaine,Deux-Sèvres,Ménigoute,79340,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"46.4927432547, -0.0657078750275"
Les Fabricoles,,Centre-Val de Loire,Loiret,Meung-sur-Loire,45130,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"47.8397230739, 1.69811579508"
Festival du Fantastique Et de L'imaginaire,,Nouvelle-Aquitaine,Corrèze,Meyssac,19500,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"45.0503878402, 1.68376616908"
Dub Camp,,Pays de la Loire,Loire-Atlantique,Joué-sur-Erdre,44440,Musique,Saison (21 juin - 5 septembre),"47.5092437538, -1.42943494948"
Les oniriques,Régionale,Auvergne-Rhône-Alpes,Métropole de Lyon,Meyzieu,69330,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"45.7770899686, 5.00632679347"
Rien à voir ! Itinéraire sonore,Régionale,Occitanie,Tarn,Monestiés,81640,Musique,Après-saison (6 septembre - 31 décembre),"44.0787915889, 2.09845237087"
Festival de la sculpture de l’espace Bourdelle,,Occitanie,Tarn-et-Garonne,Montauban,82000,"Arts visuels, arts numériques",Saison (21 juin - 5 septembre),"44.0222594578, 1.36408636501"
Montluçon Art Digital,Communale,Auvergne-Rhône-Alpes,Allier,Montluçon,3100,"Arts visuels, arts numériques",Saison (21 juin - 5 septembre),"46.3375770064, 3.45102443628"
Au fil des notes,,Nouvelle-Aquitaine,Vienne,Montmorillon,86500,Spectacle vivant,Saison (21 juin - 5 septembre),"46.4263978846, 0.895458347632"
Saperlipopette,,Occitanie,Hérault,Montpellier,34000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.6134409138, 3.86851657896"
Odyssée spectacle,,Occitanie,Aveyron,Montrozier,12630,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"44.394981764, 2.72127812252"
À morières de rire,,Provence-Alpes-Côte d'Azur,Vaucluse,Morières-Lès-Avignon,84310,Spectacle vivant,Saison (21 juin - 5 septembre),"43.9337788848, 4.90875878315"
Culture Bar-Bars,Nationale,Pays de la Loire,Loire-Atlantique,Nantes,44000,Musique,Après-saison (6 septembre - 31 décembre),"47.2316356767, -1.54831008605"
Le Printemps Coréen,,Pays de la Loire,Loire-Atlantique,Nantes,44000,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"47.2316356767, -1.54831008605"
Châteauneuf sous les étoiles,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Chateauneuf-Grasse,6730,Musique,Saison (21 juin - 5 septembre),"43.6656345765, 6.9791405929"
Partout la poésie,,Pays de la Loire,Loire-Atlantique,Nantes,44000,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"47.2316356767, -1.54831008605"
Sofilm Summercamp,Intercommunale,Pays de la Loire,Loire-Atlantique,Nantes,44000,"Cinéma, audiovisuel",Saison (21 juin - 5 septembre),"47.2316356767, -1.54831008605"
A Cup of Blues,,Pays de la Loire,Maine-et-Loire,Cholet,49300,Musique,Avant-saison (1er janvier - 20 juin),"47.0454402992, -0.877886189605"
Au fil du son,,Nouvelle-Aquitaine,Vienne,Civray,86400,Musique,Saison (21 juin - 5 septembre),"46.1412232275, 0.300987364675"
Touquet Music Beach,,Hauts-de-France,Pas-de-Calais,Le Touquet-Paris-Plage,62500,Musique,Saison (21 juin - 5 septembre),"50.5083984501, 1.59923820583"
Rock en Sèvre / Le Festival Sur La Brèche,,Nouvelle-Aquitaine,Deux-Sèvres,Niort,79000,Musique,Après-saison (6 septembre - 31 décembre),"46.328260242, -0.465353019369"
La Rive aux Barges,Intercommunale,Pays de la Loire,Loire-Atlantique,Nort-sur-Erdre,44390,Musique,Saison (21 juin - 5 septembre),"47.447122285, -1.51824792558"
